Unnamed: 0;Аналитика;Код;Артикул;Количество;Себестоимость
;Итого;;;1046119;51172386.99
;Регион:;;;746;64695.78
;Сервисное;;;746;64695.78
1.0;"""Сменные кассеты для бритвы Premium 5 лезвий  (4шт/уп, цена за шт.) (785907/785906) 1989 Kodak 785901";785901.0;lБ0051171;12;613.26
2.0;"""Станок для бритья мужской 5 лезв. + 4 смен. кассеты,  2030 Kodak 785906";785906.0;lБ0051169;2;779.5
3.0;GREEN APPLE GBS-10-120 Поддержка бамбуковая 120см o 10мм 5шт 461545;461545.0;lБ0008337;5;454.27
4.0;GREEN APPLE GWOJ12-042 Дождеватель, алюминиевая туба, 260 квм (24/144) 461338;461338.0;lБ0003101;3;1698.47
5.0;GREEN APPLE Сетка антимоск. на магнитах 100*210см серая (самокл.лента) GBN007 685880;685880.0;lБ0032054;2;681.9
6.0;Intro BI1800W Plus вкладыши ultra slim  Bluetooth-гарнитура сенсорная, с зар. кейсом, белая  3420 769343;769343.0;lБ0048621;1;561.6
7.0;Intro Plano выкл. СУ 1 кл. 10А, 250В, алюминий 1-101-03 6587 833076;833076.0;lБ0053723;3;362.61
8.0;АРМИЯ РОССИИ фонарь брелок BB-601 Привал (0,5W(25lm)+рефлектор, алюм, открывашка, 3xLR44, BL) 1705 647712;647712.0;lБ0030181;1;185.02
9.0;АРМИЯ РОССИИ фонарь унив. MA-702 Кинжал 8W алюм, диммер, нож, Li акк 2,5Ач. PowerBank, USB 691392;691392.0;lБ0036610;1;1090.07
10.0;АРМИЯ РОССИИ фонарь-брелок, карабин,COB диод,  подставка,магнит аккум.800 mAh черный BA-501 59499 871584;871584.0;lБ0059499;1;295.46
11.0;Супер-Клей СИЛА 505 3г BL12 блистер-лента (цена за 1шт, отгрузка кратно 12шт) 505-3 3247 678834;678834.0;lБ0033119;48;629
12.0;СИЛА Лента герметизирующая SFLEX-1015W ремонтная сверхсильная 10 см х 1.5 м прозрачная 792117;792117.0;lБ0050343;1;218.84
13.0;Супер-Клей Гель СИЛА 3г BL12 блистер-карта (цена за 1шт, отгрузка кратно 12шт) SSGBL12-3 0771 335425;335425.0;lC0042300;48;1344.84
14.0;Супер-Клей СИЛА 505 6г туба кор. 505-6 3261 680577;680577.0;lБ0033120;1;27.58
15.0;ТРОФИ фонарь пушлайт SB-101 подсветка  СОВ, 3хААА, белый, 1шт в пак. 0255 805367;805367.0;lБ0052747;4;205.42
16.0;ТРОФИ фонарь ручной TM9 (3xR03) 9св/д серебр./металл, картон 407423;407423.0;lБ0002225;4;392.36
17.0;ТРОФИ фонарь ручной универсальный 1W 22lm (1хAA) 1 SMD+4 led осн+бок.свет IP20 UB-101 6857 817569;817569.0;lБ0054034;1;51.98
18.0;Элемент питания Kodak MAX Lithium CR2025 BL2 680990;680990.0;lБ0037003;2;78.5
19.0;Элемент питания Kodak MAX Lithium CR2032 BL5 618595;618595.0;lБ0018717;35;1026.48
20.0;Элемент питания Kodak R03/286 BL4 59334;59334.0;lБ0005118;4;42.93
21.0;Элемент питания Kodak  R14/343 BL2 3654;3654.0;lБ0005136;6;214.53
22.0;Элемент питания Kodak R20/373 BL2 3653;3653.0;lБ0005135;12;662.68
23.0;Элемент питания Kodak R6/316 4S 6144;6144.0;lБ0005141;16;141.77
24.0;Элемент питания Kodak R6/316 BL4 3462;3462.0;lБ0005119;12;128.79
25.0;Элемент питания ТРОФИ HEAVY DUTY R03/286 4S Классика 521192;521192.0;Б0012907;12;46.2
26.0;Элемент питания ТРОФИ HEAVY DUTY R20/373 2S Классика 647774;647774.0;lБ0023146;24;570.58
27.0;Элемент питания ТРОФИ HEAVY DUTY R6/316 4S Классика 521190;521190.0;Б0012906;8;21.96
28.0;Э/п ЭРА LR03/286 Super Alkaline box28 1247 660656;660656.0;lБ0002909;28;375.65
29.0;Элемент питания ЭРА LR14/343 BL2 338783;338783.0;lC0038444;6;333.22
30.0;Э/п ЭРА LR6/316 Super Alkaline box28 1261 660655;660655.0;lБ0002910;28;375.65
31.0;ЭРА ECO GX53 10W(800lm) 6500K 6K 27х75 LED-GX-10W-865-GX53 R 5499 734620;734620.0;lБ0045328;5;201.55
32.0;ЭРА ECO MR16 GU5.3 220V 7W(560lm) 4000K 4K 50x50 R MR16-7W-840-GU5.3 7508 799276;799276.0;lБ0050690;10;331.97
33.0;ЭРА GOFR-32-25-HD Гофра ПНД (черный) ПНД d 32мм с зонд. легкая 25м 5661 686405;686405.0;lБ0020122;50;1368.06
34.0;ЭРА GOFR-50-20-HD Гофра ПНД Труба гофрированная ПНД (черный) d 50мм с зонд. легкая 20м 9391 686410;686410.0;lБ0036829;60;2599.46
35.0;ЭРА NLED-476 св-к настольный св/д 10W 2К-6К, 5 реж., ЖК-дисп (часы,терм.), димм.сенс.,пластик,черный 700452;700452.0;lБ0038592;1;2189.8
